id,ten_truong,ten_nganh,ma_nganh,khoi_thi,diem_chuan_2023,diem_chuan_2024,diem_chuan_2025,vung,nhom_nganh,bac_dao_tao,loai_hinh,website,nguon_verified,verified
271,Đại học Huế,Tâm lý học,7310401,"B00,C00",21,21.3,21.5,Miền Trung,Tâm lý,Đại học,Công lập,https://hueuni.edu.vn,,Yes
272,Đại học Cần Thơ,Tâm lý học,7310401,"B00,C00",21.5,21.8,22,Nam,Tâm lý,Đại học,Công lập,https://ctu.edu.vn,,Yes
273,Đại học Thể dục Thể thao Bắc Ninh,Giáo dục thể chất,7140206,T00,21,21.3,21.5,Bắc,Thể dục - Thể thao,Đại học,Công lập,https://tnu.edu.vn,,Yes
274,Đại học Thể dục Thể thao TP.HCM,Giáo dục thể chất,7140206,T00,21.5,21.8,22,Nam,Thể dục - Thể thao,Đại học,Công lập,https://upes.edu.vn,,Yes
275,Đại học Thể dục Thể thao Đà Nẵng,Giáo dục thể chất,7140206,T00,20,20.3,20.5,Miền Trung,Thể dục - Thể thao,Đại học,Công lập,https://upes.edu.vn,,Yes
276,Đại học Sư phạm Thể dục Thể thao Hà Nội,Giáo dục thể chất,7140206,T00,21.5,21.8,22,Bắc,Thể dục - Thể thao,Đại học,Công lập,https://hnue.edu.vn,,Yes
277,Đại học Công nghiệp Dệt may Hà Nội,Công nghệ may,7540204,"A00,A01",19.5,19.8,20,Bắc,Thời trang - May mặc,Đại học,Công lập,https://hict.edu.vn,,Yes
278,Đại học Công nghiệp Dệt may TP.HCM,Công nghệ may,7540204,"A00,A01",20,20.3,20.5,Nam,Thời trang - May mặc,Đại học,Công lập,https://hcmute.edu.vn,,Yes
279,Đại học Mỹ thuật Công nghiệp,Thiết kế thời trang,7210404,H00,22,22.3,22.5,Bắc,Thời trang - May mặc,Đại học,Công lập,https://mica.edu.vn,,Yes
280,Đại học Mỹ thuật TP.HCM,Thiết kế thời trang,7210404,H00,22.5,22.8,23,Nam,Thời trang - May mặc,Đại học,Công lập,https://hcmufa.edu.vn,,Yes
281,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Toán học,7460101,"A00,A01",23.5,23.8,24,Bắc,Toán học và thống kê,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
282,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Toán ứng dụng,7460112,"A00,A01",23,23.3,23.5,Bắc,Toán học và thống kê,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
283,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Toán học,7460101,"A00,A01",23,23.3,23.5,Nam,Toán học và thống kê,Đại học,Công lập,https://hcmus.edu.vn,,Yes
284,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Thống kê,7460201,"A00,A01",22.5,22.8,23,Nam,Toán học và thống kê,Đại học,Công lập,https://hcmus.edu.vn,,Yes
285,Đại học Kinh tế Quốc dân,Thống kê kinh tế,7460201,"A00,A01",24.5,24.8,25,Bắc,Toán học và thống kê,Đại học,Công lập,https://neu.edu.vn,,Yes
286,Đại học Kinh tế TP.HCM,Thống kê kinh tế,7460201,"A00,A01",23.5,23.8,24,Nam,Toán học và thống kê,Đại học,Công lập,https://ueh.edu.vn,,Yes
287,Đại học Quy Nhơn,Toán học,7460101,"A00,A01",20.5,20.8,21,Miền Trung,Toán học và thống kê,Đại học,Công lập,https://qnu.edu.vn,,Yes
288,Đại học Cần Thơ,Toán ứng dụng,7460112,"A00,A01",21.5,21.8,22,Nam,Toán học và thống kê,Đại học,Công lập,https://ctu.edu.vn,,Yes
289,Đại học Kinh tế Quốc dân,Quản trị nhân lực,7340404,"A01,D01",24,24.3,24.5,Bắc,Nhân sự - Hành chính,Đại học,Công lập,https://neu.edu.vn,,Yes
290,Đại học Kinh tế TP.HCM,Quản trị nhân lực,7340404,"A01,D01",23.5,23.8,24,Nam,Nhân sự - Hành chính,Đại học,Công lập,https://ueh.edu.vn,,Yes
291,Đại học Nội vụ Hà Nội,Quản trị nhân lực,7340404,"A01,D01",22.5,22.8,23,Bắc,Nhân sự - Hành chính,Đại học,Công lập,https://tchc.gov.vn,,Yes
292,Đại học Hành chính Quốc gia,Hành chính công,7310205,"A01,D01",23,23.3,23.5,Bắc,Nhân sự - Hành chính,Đại học,Công lập,https://napa.vn,,Yes
293,Đại học Đà Nẵng,Quản trị nhân lực,7340404,"A01,D01",22,22.3,22.5,Miền Trung,Nhân sự - Hành chính,Đại học,Công lập,https://udn.vn,,Yes
294,Đại học Huế,Quản trị nhân lực,7340404,"A01,D01",21.5,21.8,22,Miền Trung,Nhân sự - Hành chính,Đại học,Công lập,https://hueuni.edu.vn,,Yes
295,Đại học Khoa học Xã hội và Nhân văn - ĐHQG Hà Nội,Văn hóa học,7229010,"C00,D01",23.5,23.8,24,Bắc,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://ussh.vnu.edu.vn,,Yes
296,Đại học Khoa học Xã hội và Nhân văn - ĐHQG Hà Nội,Triết học,7229001,C00,23,23.3,23.5,Bắc,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://ussh.vnu.edu.vn,,Yes
297,Đại học Khoa học Xã hội và Nhân văn TP.HCM,Văn hóa học,7229010,"C00,D01",22.5,22.8,23,Nam,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://hcmussh.edu.vn,,Yes
298,Đại học Khoa học Xã hội và Nhân văn TP.HCM,Triết học,7229001,C00,22,22.3,22.5,Nam,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://hcmussh.edu.vn,,Yes
299,Học viện Chính trị Quốc gia Hồ Chí Minh,Chính trị học,7310201,"C00,D01",24,24.3,24.5,Bắc,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://hocvienchinhtri.edu.vn,,Yes
300,Đại học Huế,Triết học,7229001,C00,21,21.3,21.5,Miền Trung,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://hueuni.edu.vn,,Yes
301,Đại học Hàng hải Việt Nam,Khai thác vận tải,7840101,"A00,A01",22.5,22.8,23,Bắc,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://vimaru.edu.vn,,Yes
302,Đại học Hàng hải Việt Nam,Điều khiển tàu biển,7840102,"A00,A01",22,22.3,22.5,Bắc,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://vimaru.edu.vn,,Yes
303,Đại học Hàng hải Việt Nam,Kỹ thuật tàu thủy,7520122,"A00,A01",22.8,23.1,23.3,Bắc,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://vimaru.edu.vn,,Yes
304,Đại học Hàng hải TP.HCM,Khai thác vận tải,7840101,"A00,A01",21.5,21.8,22,Nam,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://vimaru.edu.vn,,Yes
305,Đại học Thủy lợi,Kỹ thuật tài nguyên nước,7580210,"A00,A01",22.5,22.8,23,Bắc,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://tlu.edu.vn,,Yes
306,Đại học Thủy lợi,Kỹ thuật công trình thủy,7580210,"A00,A01",22.8,23.1,23.3,Bắc,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://tlu.edu.vn,,Yes
307,Đại học Tài nguyên và Môi trường Hà Nội,Khí tượng thủy văn,7440221,"A00,A01",21,21.3,21.5,Bắc,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://hunre.edu.vn,,Yes
308,Đại học Tài nguyên và Môi trường TP.HCM,Khí tượng thủy văn,7440221,"A00,A01",20.5,20.8,21,Nam,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://hcmunre.edu.vn,,Yes
309,Đại học Quy Nhơn,Khí tượng thủy văn,7440221,"A00,A01",19.5,19.8,20,Miền Trung,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://qnu.edu.vn,,Yes
310,Học viện An ninh Nhân dân,Trinh sát an ninh,7860101,"A01,C00",26.5,26.8,27,Bắc,Công an - Quân đội,Đại học,Công lập,https://and.edu.vn,,Yes
311,Học viện An ninh Nhân dân,Điều tra hình sự,7860102,"A01,C00",26,26.3,26.5,Bắc,Công an - Quân đội,Đại học,Công lập,https://and.edu.vn,,Yes
312,Học viện Cảnh sát Nhân dân,Trinh sát cảnh sát,7860103,"A01,C00",25.8,26.1,26.3,Bắc,Công an - Quân đội,Đại học,Công lập,https://csnd.edu.vn,,Yes
313,Học viện Cảnh sát Nhân dân,Điều tra trật tự xã hội,7860104,"A01,C00",25.5,25.8,26,Bắc,Công an - Quân đội,Đại học,Công lập,https://csnd.edu.vn,,Yes
314,Học viện Kỹ thuật Quân sự,Kỹ thuật quân sự,7860201,"A00,A01",26,26.3,26.5,Bắc,Công an - Quân đội,Đại học,Công lập,https://mta.edu.vn,,Yes
315,Học viện Kỹ thuật Quân sự,Kỹ thuật điện tử - viễn thông,7520207,"A00,A01",25.5,25.8,26,Bắc,Công an - Quân đội,Đại học,Công lập,https://mta.edu.vn,,Yes
316,Học viện Hậu cần,Hậu cần quân sự,7860202,"A00,A01",24.5,24.8,25,Bắc,Công an - Quân đội,Đại học,Công lập,https://hocvienhaucan.edu.vn,,Yes
317,Học viện Hải quân,Kỹ thuật hải quân,7860203,"A00,A01",24,24.3,24.5,Bắc,Công an - Quân đội,Đại học,Công lập,https://hocvienhaiquan.vn,,Yes
318,Học viện Phòng không - Không quân,Kỹ thuật phòng không,7860204,"A00,A01",24.5,24.8,25,Bắc,Công an - Quân đội,Đại học,Công lập,https://hvpkqq.edu.vn,,Yes
319,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Vật lý học,7440101,"A00,A01",24,24.3,24.5,Bắc,Khoa học tự nhiên khác,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
320,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Hóa học,7440112,"A00,B00",23.5,23.8,24,Bắc,Khoa học tự nhiên khác,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
321,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Sinh học,7420101,B00,23,23.3,23.5,Bắc,Khoa học tự nhiên khác,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
322,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Vật lý học,7440101,"A00,A01",23.5,23.8,24,Nam,Khoa học tự nhiên khác,Đại học,Công lập,https://hcmus.edu.vn,,Yes
323,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Hóa học,7440112,"A00,B00",23,23.3,23.5,Nam,Khoa học tự nhiên khác,Đại học,Công lập,https://hcmus.edu.vn,,Yes
324,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,Sinh học,7420101,B00,22.5,22.8,23,Nam,Khoa học tự nhiên khác,Đại học,Công lập,https://hcmus.edu.vn,,Yes
325,Đại học Khoa học - ĐH Huế,Vật lý học,7440101,"A00,A01",21.5,21.8,22,Miền Trung,Khoa học tự nhiên khác,Đại học,Công lập,https://husc.edu.vn,,Yes
326,Đại học Khoa học - ĐH Huế,Hóa học,7440112,"A00,B00",21,21.3,21.5,Miền Trung,Khoa học tự nhiên khác,Đại học,Công lập,https://husc.edu.vn,,Yes
327,Đại học Khoa học - ĐH Huế,Sinh học,7420101,B00,20.5,20.8,21,Miền Trung,Khoa học tự nhiên khác,Đại học,Công lập,https://husc.edu.vn,,Yes
328,Đại học Quy Nhơn,Vật lý học,7440101,"A00,A01",20,20.3,20.5,Miền Trung,Khoa học tự nhiên khác,Đại học,Công lập,https://qnu.edu.vn,,Yes
329,Đại học Quy Nhơn,Hóa học,7440112,"A00,B00",19.5,19.8,20,Miền Trung,Khoa học tự nhiên khác,Đại học,Công lập,https://qnu.edu.vn,,Yes
330,Đại học Cần Thơ,Vật lý học,7440101,"A00,A01",21,21.3,21.5,Nam,Khoa học tự nhiên khác,Đại học,Công lập,https://ctu.edu.vn,,Yes
331,Đại học Cần Thơ,Sinh học,7420101,B00,20.5,20.8,21,Nam,Khoa học tự nhiên khác,Đại học,Công lập,https://ctu.edu.vn,,Yes
332,Đại học Bách Khoa Hà Nội,Kỹ thuật hạt nhân,7520402,"A00,A01",23.5,23.8,24,Bắc,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://hust.edu.vn,,Yes
333,Đại học Khoa học Tự nhiên - ĐHQG Hà Nội,Vật lý hạt nhân,7440108,"A00,A01",23,23.3,23.5,Bắc,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://hus.vnu.edu.vn,,Yes
334,Đại học Bách Khoa TP.HCM,Kỹ thuật hạt nhân,7520402,"A00,A01",22.5,22.8,23,Nam,Hàng không - Vũ trụ - Hạt nhân,Đại học,Công lập,https://hcmut.edu.vn,,Yes
335,Đại học Điện lực,Kỹ thuật điện,7520201,"A00,A01",22,22.3,22.5,Bắc,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://epu.edu.vn,,Yes
336,Đại học Điện lực,Hệ thống điện,7520205,"A00,A01",22.5,22.8,23,Bắc,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://epu.edu.vn,,Yes
337,Đại học Giao thông Vận tải,Hàng hải,7840101,"A00,A01",22,22.3,22.5,Bắc,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://utc.edu.vn,,Yes
338,Đại học Nha Trang,Kỹ thuật tàu thủy,7520122,"A00,A01",20.5,20.8,21,Miền Trung,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://ntu.edu.vn,,Yes
339,Đại học Nha Trang,Khai thác vận tải,7840101,"A00,A01",20,20.3,20.5,Miền Trung,Hàng hải - Thủy lợi - Thời tiết,Đại học,Công lập,https://ntu.edu.vn,,Yes
340,Đại học Công nghệ Giao thông Vận tải,Kỹ thuật xây dựng công trình giao thông,7580205,"A00,A01",21.5,21.8,22,Bắc,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://utc2.edu.vn,,Yes
341,Đại học Công nghệ Giao thông Vận tải,Logistics và Quản lý chuỗi cung ứng,7510605,"A00,A01,D01",22,22.3,22.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://utc2.edu.vn,,Yes
342,Đại học Công nghệ Thông tin và Truyền thông - ĐH Thái Nguyên,Công nghệ thông tin,7480101,"A00,A01,D01",21.5,21.8,22,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://ictu.edu.vn,,Yes
343,Đại học Công nghệ Thông tin và Truyền thông - ĐH Thái Nguyên,Kỹ thuật phần mềm,7480103,"A00,A01,D01",21,21.3,21.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://ictu.edu.vn,,Yes
344,Đại học Hạ Long,Công nghệ thông tin,7480101,"A00,A01,D01",19.5,19.8,20,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://daihochalong.edu.vn,,Yes
345,Đại học Hạ Long,Quản trị kinh doanh,7340101,"A00,A01,D01",19,19.3,19.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://daihochalong.edu.vn,,Yes
346,Đại học Hải Phòng,Công nghệ thông tin,7480101,"A00,A01,D01",20.5,20.8,21,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://dhhp.edu.vn,,Yes
347,Đại học Hải Phòng,Kỹ thuật xây dựng,7580201,"A00,A01",20,20.3,20.5,Bắc,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://dhhp.edu.vn,,Yes
348,Đại học Kinh tế Kỹ thuật Công nghiệp,Quản trị kinh doanh,7340101,"A00,A01,D01",20.5,20.8,21,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://uneti.edu.vn,,Yes
349,Đại học Kinh tế Kỹ thuật Công nghiệp,Kế toán,7340301,"A00,A01,D01",20,20.3,20.5,Bắc,Kế toán - Kiểm toán,Đại học,Công lập,https://uneti.edu.vn,,Yes
350,Đại học Sao Đỏ,Cơ khí,7520103,"A00,A01",19.5,19.8,20,Bắc,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://saodo.edu.vn,,Yes
351,Đại học Mỹ thuật Việt Nam,Hội họa,7210101,H00,22,22.3,22.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vietnamfineart.edu.vn,,Yes
352,Đại học Mỹ thuật Việt Nam,Điêu khắc,7210102,H00,21.5,21.8,22,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vietnamfineart.edu.vn,,Yes
353,Đại học Mỹ thuật Việt Nam,Đồ họa,7210103,H00,22.5,22.8,23,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vietnamfineart.edu.vn,,Yes
354,Đại học Mỹ thuật TP.HCM,Hội họa,7210101,H00,22.5,22.8,23,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hcmufa.edu.vn,,Yes
355,Đại học Mỹ thuật TP.HCM,Điêu khắc,7210102,H00,22,22.3,22.5,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hcmufa.edu.vn,,Yes
356,Đại học Mỹ thuật TP.HCM,Đồ họa,7210103,H00,23,23.3,23.5,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hcmufa.edu.vn,,Yes
357,Đại học Nghệ thuật Huế,Hội họa,7210101,H00,21,21.3,21.5,Miền Trung,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hufa.edu.vn,,Yes
358,Đại học Nghệ thuật Huế,Điêu khắc,7210102,H00,20.5,20.8,21,Miền Trung,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hufa.edu.vn,,Yes
359,Đại học Nghệ thuật Huế,Đồ họa,7210103,H00,21.5,21.8,22,Miền Trung,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hufa.edu.vn,,Yes
360,Học viện Âm nhạc Quốc gia Việt Nam,Thanh nhạc,7210205,N00,22,22.3,22.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vnam.edu.vn,,Yes
361,Học viện Âm nhạc Quốc gia Việt Nam,Piano,7210201,N00,22.5,22.8,23,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vnam.edu.vn,,Yes
362,Học viện Âm nhạc Quốc gia Việt Nam,Sáng tác âm nhạc,7210203,N00,22.3,22.6,22.8,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vnam.edu.vn,,Yes
363,Học viện Âm nhạc Quốc gia Việt Nam,Chỉ huy âm nhạc,7210204,N00,22,22.3,22.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vnam.edu.vn,,Yes
364,Học viện Âm nhạc Huế,Thanh nhạc,7210205,N00,20.5,20.8,21,Miền Trung,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hcmcons.vn,,Yes
365,Học viện Âm nhạc Huế,Piano,7210201,N00,20,20.3,20.5,Miền Trung,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hcmcons.vn,,Yes
366,Học viện Âm nhạc TP.HCM,Thanh nhạc,7210205,N00,21.5,21.8,22,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hcmcons.vn,,Yes
367,Học viện Âm nhạc TP.HCM,Piano,7210201,N00,22,22.3,22.5,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://hcmcons.vn,,Yes
368,Đại học Sân khấu Điện ảnh Hà Nội,Đạo diễn điện ảnh,7210234,S00,21.5,21.8,22,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://skda.edu.vn,,Yes
369,Đại học Sân khấu Điện ảnh Hà Nội,Diễn viên kịch  điện ảnh,7210231,S00,21,21.3,21.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://skda.edu.vn,,Yes
370,Đại học Sân khấu Điện ảnh Hà Nội,Biên kịch điện ảnh,7210232,S00,20.5,20.8,21,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://skda.edu.vn,,Yes
371,Đại học Sân khấu Điện ảnh TP.HCM,Đạo diễn điện ảnh,7210234,S00,21,21.3,21.5,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://skdahcm.edu.vn,,Yes
372,Đại học Sân khấu Điện ảnh TP.HCM,Diễn viên kịch điện ảnh,7210231,S00,20.5,20.8,21,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://skdahcm.edu.vn,,Yes
373,Đại học Sân khấu Điện ảnh TP.HCM,Quay phim,7210233,S00,21.5,21.8,22,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://skdahcm.edu.vn,,Yes
374,Đại học Văn hóa Hà Nội,Đạo diễn sự kiện,7210241,S00,21,21.3,21.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://huc.edu.vn,,Yes
375,Đại học Văn hóa Nghệ thuật Quân đội,Thanh nhạc,7210205,N00,22,22.3,22.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vanhnghequandoi.vn,,Yes
376,Đại học Văn hóa Nghệ thuật Quân đội,Piano,7210201,N00,21.5,21.8,22,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vanhnghequandoi.vn,,Yes
377,Đại học Văn hóa - Nghệ thuật Quân đội (phân hiệu TP.HCM),Thanh nhạc,7210205,N00,21,21.3,21.5,Nam,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://vanhnghequandoi.vn,,Yes
378,Đại học Mỹ thuật Công nghiệp,Hội họa,7210101,H00,22.5,22.8,23,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://mica.edu.vn,,Yes
379,Đại học Mỹ thuật Công nghiệp,Điêu khắc,7210102,H00,22,22.3,22.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://mica.edu.vn,,Yes
380,Đại học Mỹ thuật Công nghiệp,Đồ họa,7210103,H00,23,23.3,23.5,Bắc,Mỹ thuật - Âm nhạc - Nghệ thuật,Đại học,Công lập,https://mica.edu.vn,,Yes
